,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,Quentin Blake,Fri 6 Oct 2006,The complete works - Charles Dickens,Arches watercolour paper,"String Quartet No 2, 'Intimate Letters'",Piano Concerto in G major,In darkness let me dwell,Four Sea Interludes from Peter Grimes,I Heard It Through The Grapevine,A Song Of The Weather,"Cello Concerto in B minor, Op.104",La Parapluie,Leoš Janáček & Takács Quartet,Maurice Ravel,Alfred Deller,Benjamin Britten,Marvin Gaye,Flanders and Swann,Antonín Dvořák,Georges Brassens,"String Quartets Kreutzer Sonata, Intimate Letters. ",Debussy/Ravel: The works for Piano & Orchestra. ,"HMV Recordings, 1949-1954. ",Four Sea Interludes. ,I Heard It Through the Grapevine. ,At the Drop of a Hat. ,Dvorák: Cello Concerto & Symphony No 9. ,La Mauvaise Reputation. ,"
Kirsty Young's castaway is illustrator Quentin Blake.

Show more

", ,edfced8a-01bc-4c22-96b2-da58edd6b8af,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,113a1384-1d7d-4e70-86e6-a5fc0da0c1b0,49ae5227-605a-47a8-9b8e-cd89bf01a97c,afdb7919-059d-43c1-b668-ba1d265e7e42,969dc50b-baf0-4d90-911b-35a0e9f95915,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,b58165ba-ac55-49a1-8855-caf16c68f5f2, ,0,"https://www.bbc.co.uk/programmes/p0093v2t
"
0,Quentin Crewe,Fri 21 Jun 1996,Essays - Michel de Montaigne,"The cellar from Trinity College, Cambridge",Douce France,"Amici in vita, in morte (from La forza del destino)",My Very Good Friend The Milkman,Trumpet Concerto in E flat major,The Girl from Ipanema,Beim Schlafengehan (Four Last Songs),COOL WATER,"String Quintet in C major, D 956 (feat. Takács Quartet)",The Albert Lasry Orchestra,Giuseppe Verdi,Fats Waller,Johann Nepomuk Hummel,"Antônio Carlos Jobim, Astrud Gilberto, João Gilberto, Antônio Carlos Jobim, Stan Getz & Tommy Williams",Richard Strauss,Nellie Lutcher,Franz Schubert & Takács Quartet,The Extraordinary Garden. ,La Forza Del Destino. ,16 Top Tracks. ,Wynton Marsalis And The English Chamber Orchestra. ,That's Jazz - Simply The Best Of Jazz. ,Richard Strauss Last Four Songs. ,None,Schubert String Quintet. ,"
Sue Lawley's castaway is journalist and writer Quentin Crewe.

Show more

", ,,f1bedf1f-4445-4651-9c35-f4a3f3860a13,569fc5bf-bcb6-4bc5-9a00-bd0d258e34f1,f7ef501b-2bc0-4083-ac52-3518255883a2,7a8dbe84-f4c0-4457-bfa3-edced1f8cde0,4cb43d82-824e-4034-b03d-1a98f36f6e16,159e0946-cb0d-402f-b897-402de5bf856b,f91e3a88-24ee-4563-8963-fab73d2765ed, ,0,"https://www.bbc.co.uk/programmes/p0093nfq
"
0,Quentin Crewe,Fri 27 Jan 1984,Brewer's Dictionary of Phrase and Fable,Potter's wheel,Night & Day,St James' Infirmary,Douce France,Horn Concerto no. 2 in E flat major K.417,(There's) Always Something There to Remind Me,COOL WATER,Maladie D'Amour,Violin Concerto No.1 in G Minor - 3rd Movement,Cole Porter & Fred Astaire,Louis Armstrong and His Savoy Ballroom Five,Charles Trenet & Orchestra,Wolfgang Amadeus Mozart,Sandie Shaw,Nellie Lutcher,Henri Salvador,Max Bruch,None,Louis. ,None,None,None,None,None,None,"
Roy Plomley's castaway is journalist and writer Quentin Crewe.

Show more

", ,3ae3fa20-d295-467c-b59f-969376a28470,93c29938-9faa-49fb-b9cb-4cf0d5da56e0,,b972f589-fb0e-474e-b64a-803b0364fa75,16963107-9288-43a2-946c-81de2f5eddfa,159e0946-cb0d-402f-b897-402de5bf856b,05812a7d-deff-4cd1-9087-08de9ff77581,e3d5cfcd-e42b-411d-add2-716a5029f59b, ,0,"https://www.bbc.co.uk/programmes/p009mhtm
"
0,Quentin Poole,Mon 28 Dec 1970,Novels - Agatha Christie,Flute and music,Mars (from The Planets),"Remember not, Lord, our offences Z.50","Flute Sonata No. 2 in E flat major, BWV 1031",A Sea Symphony,Flute Concerto No. 2 in D major,The Oxford Elegy,Deep Purple,Mariner man (from Façade),Gustav Holst,Henry Purcell,Johann Sebastian Bach,Ralph Vaughan Williams,Wolfgang Amadeus Mozart,Ralph Vaughan Williams,The Scholars,William Walton,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is head chorister Quentin Poole.
Favourite track: Mariner Man by William WaltonBook: Novels by Agatha ChristieLuxury: Flute and music
", ,3ba68671-e3b5-4263-81dc-76b16b29bbc6,ddea5540-2c7d-4266-8507-b367c2635d35,24f1766e-9635-4d58-a4d4-9413f9f98a4c,4f3b96ed-f1f1-4a68-be73-0e0657837096,b972f589-fb0e-474e-b64a-803b0364fa75,4f3b96ed-f1f1-4a68-be73-0e0657837096,7fdcece4-6a4e-46ef-a3f9-ba2d04c66d64,d019a8cc-060f-4491-83d6-76e1211a1a08, ,0,"https://www.bbc.co.uk/programmes/p009ndfl
"
0,Quentin Reynolds,Mon 18 Feb 1963,The History of the Decline and Fall of the Roman Empire - Edward Gibbon,Typewriter and paper,Symphony No. 5 in C minor (feat. BBC Scottish Symphony Orchestra),There's a Small Hotel,Liebestod (from Tristan and Isolde),Underneath The Arches,The Rain In Spain,The Malayan Ambassador,A nightingale sang in Berkeley Square,"This Was Their Finest Hour (speech, 18 June 1940)",Ludwig van Beethoven & BBC Scottish Symphony Orchestra,Ella Fitzgerald,Richard Wagner,Flanagan and Allen,Rex Harrison & Julie Andrews,Vaughn Meader,Frank Sinatra,Winston Churchill,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer and correspondent Quentin Reynolds.
Favourite track: There's a Small Hotel by Ella FitzgeraldBook: The History of the Decline and Fall of the Roman Empire by Edward GibbonLuxury: Typewriter and paper
", ,1f9df192-a621-4f54-8850-2c5373b7eac9,54799c0e-eb45-4eea-996d-c4d71a63c499,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,b1a25185-3dac-4876-ae0c-13385b32dcff,,c70bd566-0c54-4ab8-aca3-b042dec62cdb,197450cd-0124-4164-b723-3c22dd16494d,e9fb8bad-ec0e-4cf1-aa82-a7e04a34b278, ,0,"https://www.bbc.co.uk/programmes/p009y5lr
"
0,Quintin Hogg,Fri 1 Apr 1988,The works - Homer,Bathtub and soap,I do like to be beside the seaside,"Swing Low, Sweet Chariot",Dancing on the Ceiling,O frag mich nicht (from The Faithful Peasant),Regimental March Of The Rifle Brigade,St Patrick's Breastplate (I Bind unto Myself Today),Vivat Regina (from I Was Glad),Dies Irae (Gregorian Chant),Mark Sheridan,Paul Robeson,Jessie Matthews,Leo Fall,"The Band and Bugles, 3rd Battalion & Royal Green Jackets",The Choir of Belfast Cathedral,Hubert Parry,Deller Consort,None,Ol Man River. ,None,None,None,None,From the Coronation Service of Queen Elizabeth II. ,None,"
Sue Lawley's castaway is politician and writer Quintin Hogg.

Show more

", ,1b76eed8-6f3c-4b7e-9d56-7a73251623fa,bbc5febe-0321-4bb2-adcd-8dafbf8d8841,ac0d65e7-119b-416f-8044-b4a5c37bb1a3,d6aa9458-a40b-4be7-bcbb-f6ceb811a84f,,,e58a0544-2b32-47b2-955c-fa51887ec6c7,2adc8bdf-0c91-4f60-abdd-42c43ca6451f, ,0,"https://www.bbc.co.uk/programmes/p009mg9j
"
