,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,Zadie Smith,Fri 27 Sep 2013,A La Recherche Du Temps Perdu - Marcel Proust,Goggles,Mo Money Mo Problems (feat. Puff Daddy & Mase),Easy Living,To Ramona,Human Nature,Pop Life,Requiem Mass in D Minor - Confutatis,Unorthodox (feat. Example),Tristan and Isolde  prelude (Vorspiel),The Notorious B.I.G.,Billie Holiday with Teddy Wilson & His Orchestra,Bob Dylan,Madonna,Prince,"Choeurs et  Orchestre de Paris, Wolfgang Amadeus Mozart & Daniel Barenboim",Wretch 32,"Berlin Philharmonic, Richard Wagner & Herbert von Karajan",B.I.G. Mo Money Problems. ,Billie Holiday: Golden Greats. ,Another Side of Bob Dylan. ,Bedtime Stories. ,Prince: The Hits 1. ,Mozart: Requiem. ,Unorthodox. ,Tristan Und Isolde. ,"
Kirsty Young talks to novelist and critic Zadie Smith.

Show more

", ,d5d97b2b-b83b-4976-814a-056d9076c8c3,d59c4cda-11d9-48db-8bfe-b557ee602aed,72c536dc-7137-4477-a521-567eeb840fa8,79239441-bfd5-4981-a70c-55c3f15c1287,070d193a-845c-479f-980e-bef15710653e,,9a3b2d4a-2da4-49c6-9ab3-c680434dbabf,, ,0,"https://www.bbc.co.uk/programmes/b03bg4v7
"
0,Zandra Rhodes,Fri 18 Feb 1983,Household Management - Mrs Beeton,"Sketchbook, pens and pencils",Twelfth Street Rag,Sparky's Magic Piano,Strawberry Fields Forever,Us And Them,Bachianas brasileira no.5,Bolero,The Maharajah Of Magador,For Unto Us A Child Is Born from Messiah,Pee Wee Hunt & His Orchestra,The Sonovox Talking Piano,The Beatles,Pink Floyd,Heitor Villa‐Lobos,Maurice Ravel,The Squadronaires,George Frideric Handel,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is designer Zandra Rhodes.
Favourite track: Bolero by Maurice RavelBook: Household Management by Mrs BeetonLuxury: Sketchbook, pens and pencils
", ,f20b1a49-58fb-429f-9674-45c2b1981cc5,,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,83d91898-7763-47d7-b03b-b92132375c47,a8dbf22f-9788-4cf6-a0df-c9244384f295,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,a101ae7d-96b6-40fb-8f19-cd230008dcc2,27870d47-bb98-42d1-bf2b-c7e972e6befc, ,0,"https://www.bbc.co.uk/programmes/p009mjys
"
0,Zena Dare,Mon 28 Jan 1957,,,"Oh, What a Beautiful Morning",Tea For Two,Bolero,Panis Angelicus,Mountain Dove and The Gates of Paradise,Time On My Hands,Begin the Beguine,Johann Strauss II - Nuns' Chorus (from Casanova),Gordon MacRae,Victor Silvester & His Ballroom Orchestra,Maurice Ravel,César Franck,Ivor Novello,Carroll Gibbons,Bing Crosby,Johann Strauss II,Oklahoma. ,"No, No, Nanette. ",None,None,None,None,None,None,"
Roy Plomley's castaway is actress Zena Dare.
Luxury: Mink coat
", ,63da067e-d1ba-4e39-a1ac-ef09594993c4,6f006aa9-47ed-488d-b76f-7a2ef40d77d7,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,69802473-e361-4e15-bbd8-53fe83cd1587,fc1a52fc-c003-42db-baa1-cb23dda7d779,4e7dd2df-b290-4586-a5dc-7576885c662d,2437980f-513a-44fc-80f1-b90d9d7fcf8f,8255db36-4902-4cf6-8612-0f2b4288bc9a, ,0,"https://www.bbc.co.uk/programmes/p009y91d
"
0,Zena Skinner,Mon 3 Mar 1969,The Second World War - Sir Winston Churchill,Tape recorder,Peter and the Wolf,Cornish Rhapsody,This is my lovely day,April in Portugal,Jerusalem,Coronation Scene and Finale,A Walk In The Black Forest,Climb Every Mountain (from The Sound Of Music),Sergei Prokofiev,Harriet Cohen,Georges Guetary & Lizbeth Webb,The Mantovani Orchestra,"Hubert Parry, BBC National Chorus of Wales, BBC National Orchestra of Wales, Neeme Järvi & Amanda Roocroft",Vanessa Lee & Olive Gilbert,Herb Alpert & The Tijuana Brass,Peggy Wood,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is cookery expert Zena Skinner.
Favourite track: Climb Every Mountain by Peggy WoodBook: The Second World War by Sir Winston ChurchillLuxury: Tape recorder
", ,0e43fe9d-c472-4b62-be9e-55f971a023e1,043cbeec-3b15-415f-bb2c-2d9b92acc74a,,ef46f19f-5d56-4757-8fe4-d5f79dd143c4,e58a0544-2b32-47b2-955c-fa51887ec6c7,,012ef4f9-2d35-4000-86e5-bc761f87dab9,bcb6078e-6ab6-4ebb-9435-950cea2f27f1, ,0,"https://www.bbc.co.uk/programmes/p009y195
"
0,Zoe Wanamaker,Fri 31 Mar 1995,Greek Myths - Robert Graves,Samson tobacco and liquorice Rizla papers,Sympathy For The Devil,Offertorio (from Requiem Mass),Freddie Freeloader,String Quintet in C major - 2nd movement,Partita for Keyboard No. 1 in B flat major,I Never Talk to Strangers (feat. Bette Midler),Symphony No. 4 in G major - 3rd movement,Ev'ry Time We Say Goodbye,The Rolling Stones,Giuseppe Verdi,Miles Davis,Franz Schubert,Johann Sebastian Bach,Tom Waits,Gustav Mahler,Ella Fitzgerald,Flashpoint. ,"Verdi - Requiem - Price, Elias, Bjorling, Tozzi. ",Kind Of Blue - Miles Davis. ,Schubert - String Quintet: Alban Berg Quartet. ,Bach Partitas/Glenn Gould. ,Foreign Affairs. ,Mahler - Symphony No. 9. ,Memories Are Made Of This - Various Artists. ,"
Sue Lawley's castaway is actress Zoe Wanamaker.

Show more

", ,b071f9fa-14b0-4217-8e97-eb41da73f598,f1bedf1f-4445-4651-9c35-f4a3f3860a13,561d854a-6a28-4aa7-8c99-323e6ce46c2a,f91e3a88-24ee-4563-8963-fab73d2765ed,24f1766e-9635-4d58-a4d4-9413f9f98a4c,c3aeb863-7b26-4388-94e8-5a240f2be21b,8d610e51-64b4-4654-b8df-064b0fb7a9d9,54799c0e-eb45-4eea-996d-c4d71a63c499, ,0,"https://www.bbc.co.uk/programmes/p0093qhc
"
0,Zubin Mehta,Fri 6 Jul 1984,The Gathas - Zarathustra,Van Eyck's Triptych from Ghent Cathedral,Mass in B Minor,Symphony no. 8 in C minor,Symphonia domestica Op.53,Cello Sonata in G minor Op 65,"Sinfonia Concertante in E flat, K.364",Symphony No.5 in B flat major (D.485),The Rite of Spring (feat. BBC Symphony Orchestra),"Concerto for Four Violins in B minor, Op. 3/10",Johann Sebastian Bach,"Zubin Mehta, Anton Bruckner & Koninklijk Concertgebouworkest",Richard Strauss,Frédéric Chopin,Wolfgang Amadeus Mozart,"Rundfunk-Sinfonieorchester Saarbrücken, Franz Schubert & Marcello Viotti",Игорь Фёдорович Стравинский & BBC Symphony Orchestra,Antonio Vivaldi,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is conductor Zubin Mehta.

Show more

", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,9debb4c3-dc10-440f-9c96-b777d51ea998,4cb43d82-824e-4034-b03d-1a98f36f6e16,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,b972f589-fb0e-474e-b64a-803b0364fa75,f91e3a88-24ee-4563-8963-fab73d2765ed,c278de2c-9696-4fdf-a919-0781cd945e2c,ad79836d-9849-44df-8789-180bbc823f3c, ,0,"https://www.bbc.co.uk/programmes/p009mhfc
"
