,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,Geoffrey Moorhouse,Fri 22 Apr 1983,Dictionary of National Biography,Recording of curlews and Indian spices,"Miserere mei, Deus",Fifth Test Match (England V Australia 1948),Notte e giorno (from Don Giovanni),Fugue In D Minor,Kafi-Holi,The Sound of Silence,Kyrie eleison,The Old 93rd Caber Feidh (Badge Of Scotland),Gregorio Allegri,John Arlott,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Chatur Lal,Simon & Garfunkel,The St Alexander Nevsky Cathedral Choir,Queens Own Highlanders Pipes and Drums,The World of King’s. ,None,Don Giovanni. ,Fugue In G Minor Bach. ,None,None,None,None,"
Roy Plomley's castaway is writer and journalist Geoffrey Moorhouse.
Favourite track: Notte E Giorno Faticar (Don Giovanni) by Wolfgang Amadeus MozartBook: Dictionary of National BiographyLuxury: Recording of curlews and Indian spices
", ,720f3f3f-49a2-47ae-a9ba-0d150ba4ee7a,15b0952d-fb63-4fd1-a71d-55636f106d0d,b972f589-fb0e-474e-b64a-803b0364fa75,24f1766e-9635-4d58-a4d4-9413f9f98a4c,cc4ef55e-0ade-46c6-8033-6d9cf0ffc4bc,5d02f264-e225-41ff-83f7-d9b1f0b1874a,,5a403109-ac49-4280-abb7-5c6a6bff027f, ,0,"https://www.bbc.co.uk/programmes/p009mjqq
"
0,Geoffrey Palmer,Fri 4 Mar 2005,Oxford Book of English Verse - Christopher Ricks,Fly-fishing rod,Look Over Your Shoulder,When Somebody Thinks You're Wonderful,I can't get started,Nanie Op.82,Romance in A Major Op.94`2,One O' Clock Jump,Symphony No. 9 in D minor 'Choral' - 2nd movement,Four Last Songs,Alan Price,Fats Waller,Bunny Berigan and His Boys,"Johannes Brahms, Oslo Filharmoniske Kor, Oslo-Filharmonien, Friedrich Schiller & Rafael Frühbeck de Burgos",Robert Schumann,Benny Goodman,Ludwig van Beethoven,Richard Strauss,O Lucky Man. ,You Must Remember This: The Great Love Songs. ,Classics 1935-36: Bunny Berigan. ,None,Musik für Oboe und Clavier: Mayer and Becker. ,Benny Goodman: Live at Carnegie Hall. ,Beethoven: Symphony No.9. ,Strauss/Wagner: Jessye Norman. ,"
Sue Lawley's castaway is actor Geoffrey Palmer.

Show more

", ,0b195cb6-0f06-4aff-a7aa-b2cbffc3c5e8,569fc5bf-bcb6-4bc5-9a00-bd0d258e34f1,5e259ea5-1903-4d58-bbaf-20c17d28ca9b,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,3cd3882c-00f8-4362-a0c2-ad89ed248533,b09ae88f-4156-4caa-b129-1cacb5e1632e,1f9df192-a621-4f54-8850-2c5373b7eac9,4cb43d82-824e-4034-b03d-1a98f36f6e16, ,0,"https://www.bbc.co.uk/programmes/p0093612
"
0,Geoffrey Parsons,Mon 22 May 1972,The Lord of the Rings - J R R Tolkien,Crystal rock specimens,Ch'io mi scordi di te (Concert aria),In the bleak midwinter,The Dream of Gerontius - Softly and gently (Angel's farewell),Azualao,Liebestod (from Tristan and Isolde),The Blue Danube,"4 Letzte Lieder for voice and orchestra (AV.150), Im Abendrot",Largo al Factotum from The Barber of Seville,Wolfgang Amadeus Mozart,King's College Chapel Choir,Edward Elgar,Victoria de los Ángeles,Richard Wagner,Johann Strauss II,Renée Fleming & Richard Strauss,"Gioachino Rossini, Thomas S. Allen, Academy of St Martin in the Fields & Sir Neville Marriner",None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is pianist Geoffrey Parsons.
Favourite track: The Farewell Of The Angel by Edward ElgarBook: The Lord of the Rings by J R R TolkienLuxury: Crystal rock specimens
", ,b972f589-fb0e-474e-b64a-803b0364fa75,,4e60a56a-514a-4a19-a3cc-49927c96b3cb,6f10f924-50bd-4492-ba08-5777ffa51ca6,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,8255db36-4902-4cf6-8612-0f2b4288bc9a,4cb43d82-824e-4034-b03d-1a98f36f6e16,846be3c9-5f94-46ab-97b9-531335dd3658, ,0,"https://www.bbc.co.uk/programmes/p009nbs9
"
0,Geoffrey Smith,Fri 12 Jun 1998,"History of viticulture, with instructions on how to make wine",Bundle of prunings from a good vineyard so he can plant his own vines,Rowan Tree,Dawn Chorus,St Louis Blues,Moonlight Srenade,Distant Hills,Song of the Volga Boatmen,Piper in the Meadow,Psalm 23 D.706,Moira Anderson,BBC Sound Effects,Harry James & His Music Makers,Glenn Miller Orchestra,The Royal Regiment,Don Kosaken Chor,Barratt & Siebert,Franz Schubert,Twenty Scottish Favourites. ,None,Spotlight on Harry James. ,In the Digital Mood. ,Distant Hills. ,Authentic Russia. ,Mr Smith’s Perennial Favourites. ,Songs You Love. ,"
Sue Lawley's castaway is gardener and broadcaster Geoffrey Smith.

Show more

", ,918dcca7-9c7d-4465-8528-4f2c7e6550aa,,86d3a13b-a396-48b2-9f75-bfa5b14e82d6,ce8cacb6-c917-41f5-b403-8fb601c89e70,,036c4748-8011-47f1-a84b-fe31a5f9f579,,f91e3a88-24ee-4563-8963-fab73d2765ed, ,0,"https://www.bbc.co.uk/programmes/p0094375
"
0,Georg Solti,Boxing Day 1966,Faust - Johann Wolfgang Goethe,Michelangelo's The Last Judgement,Dies Irae (from Requiem),String Quintet No. 4 in G minor,"Blood, Toil, Tears and Sweat (speech, 13 May 1940)",Love Duet (from Tristan und Isolde),"Piano Concerto in A minor, Op 54 (feat. Philharmonia Orchestra & Kurt Sanderling)",Symphony No 5 in C sharp minor (feat. BBC Scottish Symphony Orchestra),When my love swears that she is made of truth (Sonnet No. 138),"Falstaff Act 3, Scene 2",Giuseppe Verdi,Wolfgang Amadeus Mozart,Winston Churchill,Richard Wagner,"Alfred Brendel, Robert Schumann, Philharmonia Orchestra & Kurt Sanderling",Gustav Mahler & BBC Scottish Symphony Orchestra,William Shakespeare,Giuseppe Verdi,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is conductor Georg Solti.
Favourite track: Falstaff (Act 2 Scene 1) by Giuseppe VerdiBook: Faust by Johann Wolfgang GoetheLuxury: Michelangelo's The Last Judgement
", ,f1bedf1f-4445-4651-9c35-f4a3f3860a13,b972f589-fb0e-474e-b64a-803b0364fa75,e9fb8bad-ec0e-4cf1-aa82-a7e04a34b278,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,4a37c64f-4151-4c4b-ab69-a58450f9967e,8d610e51-64b4-4654-b8df-064b0fb7a9d9,a4ba11db-ae2b-4ec3-9084-2136db11acfa,f1bedf1f-4445-4651-9c35-f4a3f3860a13, ,0,"https://www.bbc.co.uk/programmes/p009y33h
"
0,George Abbott,Fri 7 Sep 1984,Encyclopaedia,Writing paper,Falling In Love With Love,Quiet Night,Begin the Beguine,There's A Small Hotel,You're Just In Love (from Call Me Madam),Hey There,Let's Do It (Let's Fall in Love),You've Gotta Have Heart,Ellen Hanley & Orchestra,Michael Vita,Frank Sinatra,Lara Teeter,Ethel Merman & Dick Haymes,John Riatt & Orchestra,Ella Fitzgerald with Duke Ellington & His Orchestra,Russ Brown & Jimmie Komack,None,On Your Toes. ,The Frank Sinatra Story. ,On Your Toes. ,None,The Pajama Game. ,Ella Fitzgerald Sings the Cole Porter Songbook. ,Damn Yankees. ,"
Roy Plomley's castaway is playwright George Abbott.

Show more

", ,,,197450cd-0124-4164-b723-3c22dd16494d,6cd5e927-50d2-4787-a5ab-82727ec24f1e,,,54799c0e-eb45-4eea-996d-c4d71a63c499,, ,0,"https://www.bbc.co.uk/programmes/p009mh7n
"
0,George Baker,Mon 5 Apr 1965,His favourite works - Charles Dickens,Writing materials,Prelude & Fugue in D minor,The Dream of Gerontius Op.38 – Part 2; Praise to the Holiest,Prélude à l'après-midi d'un faune,"Petite Dinde, ah quel outrage from Veronique",Ich grolle nicht (from Dichterliebe),Die Meistersinger von Nurnberg (Prelude),"Oh Tell Me, Nightingale",Gypsy Air and Dance (from Carmen),Johann Sebastian Bach,Edward Elgar,"Claude Debussy, Philharmonia Orchestra & Pierre Boulez",Maggie Teyte,Robert Schumann,"Daniel Barenboim, Richard Wagner & Chicago Symphony Orchestra",Olive Groves & Gerald Moore,Georges Bizet,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is baritone George Baker.
Favourite track: Praise to the Holiest in the Height (from The Dream of Gerontius) by Edward ElgarBook: His favourite works by Charles DickensLuxury: Writing materials
", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,4e60a56a-514a-4a19-a3cc-49927c96b3cb,be50643c-0377-4968-b48c-47e06b2e2a3b,5c0ac816-fb89-4102-aedd-493344c28f33,3cd3882c-00f8-4362-a0c2-ad89ed248533,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,,9bd20e6a-b41d-4983-a5b6-c0ff849fa235, ,0,"https://www.bbc.co.uk/programmes/p009y47f
"
0,George Cansdale,Mon 7 Jan 1957,,,Clarinet Quintet in A major,Orchestral Suite No.2 in B Minor 1067,"Jesu, Joy of Mans Desiring from Cantata BWV 147","Piano Concerto in A minor, Op 54 (feat. Philharmonia Orchestra & Kurt Sanderling)",Heigh Ho / With a Smile and a Song,Violin Concerto in D major Op.61 (feat. BBC Scottish Symphony Orchestra),"Symphony no. 9 (D.944) in C major ""Great""",I know that my Redeemer liveth [The Messiah],Wolfgang Amadeus Mozart,Johann Sebastian Bach,Johann Sebastian Bach,"Alfred Brendel, Robert Schumann, Philharmonia Orchestra & Kurt Sanderling",Charlie Kunz,Ludwig van Beethoven & BBC Scottish Symphony Orchestra,"Koninklijk Concertgebouworkest, Franz Schubert & Sir John Eliot Gardiner",George Frideric Handel,None,None,None,None,Snow White & the Seven Dwarfs. ,None,None,None,"
Roy Plomley's castaway is Superintendent of the London Zoo George Cansdale.
Luxury: Field glasses
", ,b972f589-fb0e-474e-b64a-803b0364fa75,24f1766e-9635-4d58-a4d4-9413f9f98a4c,24f1766e-9635-4d58-a4d4-9413f9f98a4c,4a37c64f-4151-4c4b-ab69-a58450f9967e,6bac8ad7-6bc9-4ac9-a1c1-8aba249f4e25,1f9df192-a621-4f54-8850-2c5373b7eac9,f91e3a88-24ee-4563-8963-fab73d2765ed,27870d47-bb98-42d1-bf2b-c7e972e6befc, ,0,"https://www.bbc.co.uk/programmes/p009y92l
"
0,George Carman QC,Fri 29 Jun 1990,The Golden Treasury - Francis Palgrave,Painting Of Grand Canal In Venice,Violin Concerto in D major Op.61 (feat. BBC Scottish Symphony Orchestra),When Irish Eyes Are Smiling,Lili Marlene,Romeo & Juliet Fantasy Overture,Non Je Ne Regrette Rien,Happiness,When I'm Sixty-Four,Warsaw Concerto,Ludwig van Beethoven & BBC Scottish Symphony Orchestra,Anne Shelton,Marlene Dietrich,Pyotr Ilyich Tchaikovsky,Édith Piaf,Ken Dodd,The Beatles,"Richard Addinsell, Jean-Yves Thibaudet, BBC Symphony Orchestra & Hugh Wolff",Violin Concertos By Beethoven & Mendelssohn. ,When Irish Eyes Are Smiling. ,The Great Standards. ,Tchaikovsky: 1812 Overture. ,The Legendary Edith Piaf. ,His Greatest Hits. ,Sgt. Pepper's Lonely Hearts Club Band. ,Warsaw Concerto. ,"
Sue Lawley's castaway is barrister George Carman QC.

Show more

", ,1f9df192-a621-4f54-8850-2c5373b7eac9,42771326-5388-401f-9065-fc08dca18a32,191cba6a-b83f-49ca-883c-02b20c7a9dd5,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,4f8ef4a3-40fa-46b5-8773-97686a8424f4,1632e145-800c-47da-b2a4-bdde648a73fa,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,3d480b35-dfac-4faa-acc1-4410b74e08f7, ,0,"https://www.bbc.co.uk/programmes/p009403p
"
0,George Chisholm,Fri 19 Mar 1982,Novels - P G Wodehouse,Engraved glass and supply of bitter lemon,Autumn Leaves,Flute Sonata No.4: Allegro,Thanks a Million,Elegie,Blue Turning Grey Over You,I Guess I'll Have To Change My Plan,Horn Concerto no. 2 in E flat major K.417,The Look Of Love,Nat King Cole,Johann Sebastian Bach/Gerhardt,Louis Armstrong & His Orchestra,Art Tatum & Jules Massenet,George Chisholm Quartet,Jack Teagarden,Wolfgang Amadeus Mozart,Urbie Green,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is jazz trombonist George Chisholm.
Favourite track: I Guess I'll Have To Change My Plan by Jack TeagardenBook: Novels by P G WodehouseLuxury: Engraved glass and supply of bitter lemon
", ,fbe054ec-a143-4101-9e9e-64abc5ff5ac9,,067bf834-c35f-414f-8389-a77558669cc1,e073f6af-d696-4340-b847-e81fabc4d55b,,79dcf09e-2290-4740-9edc-907f82420160,b972f589-fb0e-474e-b64a-803b0364fa75,ac98c2cf-4ad8-4b54-9410-be7ec436f228, ,0,"https://www.bbc.co.uk/programmes/p009mkw9
"
